fold,dataset,matcher,precision,recall,f1,abstain_rate,n_false_on_unmatched,runtime_s
5,EN_DE_15K_V1,value_overlap,0.7188857653973934,0.5358095238095238,0.613991050965841,0.2546666666666667,0,0.5480017920053797
5,EN_DE_15K_V1,pyjedai_ngram,0.3882542835857959,0.2978095238095238,0.33707017354748303,0.2329523809523809,0,237.95600433299842
5,EN_DE_15K_V1,structural_propagation,0.8561459159397303,0.514095238095238,0.6424278488545075,0.3995238095238095,0,4.716159250005148
5,EN_DE_15K_V1,paris,0.9828151498021481,0.8279047619047619,0.8987335228741277,0.15761904761904766,0,12.600974500004668
5,D_W_15K_V1,value_overlap,0.6420343403607911,0.2813333333333333,0.39123236871730344,0.5618095238095238,0,1.3679295830079354
5,D_W_15K_V1,pyjedai_ngram,0.5263043478260869,0.23057142857142857,0.32066225165562917,0.5619047619047619,0,62.09900295799889
5,D_W_15K_V1,structural_propagation,0.7253914988814317,0.37057142857142855,0.4905446293494704,0.4891428571428571,0,4.33009587500419
5,D_W_15K_V1,paris,0.9456505901209383,0.6180952380952381,0.7475666647468755,0.34638095238095234,0,15.06598662500619
5,D_Y_15K_V1,value_overlap,0.8244572591587517,0.46295238095238095,0.592949499878019,0.43847619047619046,0,0.733318207989214
5,D_Y_15K_V1,pyjedai_ngram,0.7593390804597702,0.302,0.4321340964840556,0.6022857142857143,0,53.33357225000509
5,D_Y_15K_V1,structural_propagation,0.6478339897000909,0.4073333333333333,0.5001754180797567,0.37123809523809526,0,3.0720599999913247
5,D_Y_15K_V1,paris,0.9839023336214348,0.8673333333333333,0.921947762705001,0.11847619047619051,0,8.27737979099038
