dataset,matcher,threshold,precision,recall,f1,coverage,abstain_rate,n_predicted,n_gold,n_false_on_unmatched
EN_DE_15K_V1_NM,structural_propagation,0.9,0.6153846153846154,0.02080624187256177,0.04025157232704403,0.02268760907504363,0.9773123909249564,26,769,1
EN_DE_15K_V1_NM,pyjedai_ngram,0.0,0.2853828306264501,0.3198959687906372,0.3016554261189454,0.7521815008726004,0.24781849912739962,862,769,266
EN_DE_15K_V1_NM,pyjedai_ngram,0.1,0.2853828306264501,0.3198959687906372,0.3016554261189454,0.7521815008726004,0.24781849912739962,862,769,266
EN_DE_15K_V1_NM,pyjedai_ngram,0.2,0.2857142857142857,0.3198959687906372,0.301840490797546,0.7513089005235603,0.24869109947643975,861,769,266
EN_DE_15K_V1_NM,pyjedai_ngram,0.3,0.2963855421686747,0.3198959687906372,0.3076923076923077,0.7242582897033158,0.27574171029668415,830,769,252
EN_DE_15K_V1_NM,pyjedai_ngram,0.4,0.3458755426917511,0.3107932379713914,0.3273972602739726,0.6029668411867365,0.3970331588132635,691,769,189
EN_DE_15K_V1_NM,pyjedai_ngram,0.5,0.39643652561247217,0.23146944083224968,0.29228243021346473,0.39179755671902267,0.6082024432809774,449,769,113
EN_DE_15K_V1_NM,pyjedai_ngram,0.6,0.48,0.10923276983094929,0.17796610169491525,0.15270506108202445,0.8472949389179756,175,769,38
EN_DE_15K_V1_NM,pyjedai_ngram,0.7,0.5333333333333333,0.02080624187256177,0.04005006257822278,0.02617801047120419,0.9738219895287958,30,769,6
EN_DE_15K_V1_NM,pyjedai_ngram,0.8,1.0,0.0013003901170351106,0.0025974025974025974,0.0008726003490401396,0.9991273996509599,1,769,0
EN_DE_15K_V1_NM,pyjedai_ngram,0.9,0.0,0.0,0.0,0.0,1.0,0,769,0
D_W_15K_V1_NM,value_overlap,0.0,0.4175824175824176,0.3007915567282322,0.3496932515337423,0.48105726872246696,0.518942731277533,546,758,162
D_W_15K_V1_NM,value_overlap,0.1,0.4175824175824176,0.3007915567282322,0.3496932515337423,0.48105726872246696,0.518942731277533,546,758,162
D_W_15K_V1_NM,value_overlap,0.2,0.4214417744916821,0.3007915567282322,0.35103926096997695,0.47665198237885464,0.5233480176211454,541,758,160
D_W_15K_V1_NM,value_overlap,0.3,0.42857142857142855,0.3007915567282322,0.35348837209302325,0.4687224669603524,0.5312775330396475,532,758,158
D_W_15K_V1_NM,value_overlap,0.4,0.4451345755693582,0.2836411609498681,0.3464947622884771,0.42555066079295156,0.5744493392070484,483,758,137
D_W_15K_V1_NM,value_overlap,0.5,0.4743276283618582,0.2559366754617414,0.33247643530419885,0.360352422907489,0.639647577092511,409,758,110
D_W_15K_V1_NM,value_overlap,0.6,0.5186440677966102,0.20184696569920843,0.29059829059829057,0.2599118942731278,0.7400881057268722,295,758,76
D_W_15K_V1_NM,value_overlap,0.7,0.5242290748898678,0.15699208443271767,0.2416243654822335,0.2,0.8,227,758,55
D_W_15K_V1_NM,value_overlap,0.8,0.61,0.08047493403693931,0.14219114219114218,0.0881057268722467,0.9118942731277533,100,758,15
D_W_15K_V1_NM,value_overlap,0.9,0.423728813559322,0.032981530343007916,0.06119951040391677,0.051982378854625554,0.9480176211453745,59,758,13
D_W_15K_V1_NM,structural_propagation,0.0,0.15016685205784205,0.17810026385224276,0.16294508147254072,0.7920704845814978,0.20792951541850224,899,758,297
D_W_15K_V1_NM,structural_propagation,0.1,0.20770877944325483,0.1279683377308707,0.15836734693877555,0.41145374449339206,0.5885462555066079,467,758,140
D_W_15K_V1_NM,structural_propagation,0.2,0.225201072386059,0.11081794195250659,0.14854111405835543,0.32863436123348017,0.6713656387665199,373,758,110
D_W_15K_V1_NM,structural_propagation,0.3,0.28205128205128205,0.10158311345646438,0.14936954413191078,0.24052863436123348,0.7594713656387665,273,758,72
D_W_15K_V1_NM,structural_propagation,0.4,0.2702702702702703,0.079155672823219,0.12244897959183673,0.19559471365638767,0.8044052863436123,222,758,58
D_W_15K_V1_NM,structural_propagation,0.5,0.21666666666666667,0.051451187335092345,0.08315565031982942,0.15859030837004406,0.8414096916299559,180,758,45
D_W_15K_V1_NM,structural_propagation,0.6,0.17857142857142858,0.032981530343007916,0.0556792873051225,0.12334801762114538,0.8766519823788547,140,758,31
D_W_15K_V1_NM,structural_propagation,0.7,0.21929824561403508,0.032981530343007916,0.05733944954128441,0.10044052863436123,0.8995594713656387,114,758,26
D_W_15K_V1_NM,structural_propagation,0.8,0.17777777777777778,0.021108179419525065,0.03773584905660378,0.07929515418502203,0.920704845814978,90,758,19
D_W_15K_V1_NM,structural_propagation,0.9,0.13432835820895522,0.011873350923482849,0.021818181818181816,0.059030837004405284,0.9409691629955947,67,758,13
D_W_15K_V1_NM,pyjedai_ngram,0.0,0.26564673157162727,0.2519788918205805,0.25863236289776576,0.6334801762114537,0.3665198237885463,719,758,228
D_W_15K_V1_NM,pyjedai_ngram,0.1,0.26638772663877264,0.2519788918205805,0.2589830508474576,0.6317180616740088,0.3682819383259912,717,758,228
D_W_15K_V1_NM,pyjedai_ngram,0.2,0.3673036093418259,0.22823218997361477,0.28152969894222946,0.4149779735682819,0.5850220264317181,471,758,122
D_W_15K_V1_NM,pyjedai_ngram,0.3,0.6938775510204082,0.1345646437994723,0.225414364640884,0.12951541850220263,0.8704845814977974,147,758,19
D_W_15K_V1_NM,pyjedai_ngram,0.4,0.8333333333333334,0.06596306068601583,0.12224938875305623,0.05286343612334802,0.947136563876652,60,758,7
D_W_15K_V1_NM,pyjedai_ngram,0.5,0.9565217391304348,0.029023746701846966,0.056338028169014086,0.02026431718061674,0.9797356828193833,23,758,0
D_W_15K_V1_NM,pyjedai_ngram,0.6,1.0,0.002638522427440633,0.005263157894736842,0.001762114537444934,0.9982378854625551,2,758,0
D_W_15K_V1_NM,pyjedai_ngram,0.7,0.0,0.0,0.0,0.0,1.0,0,758,0
D_W_15K_V1_NM,pyjedai_ngram,0.8,0.0,0.0,0.0,0.0,1.0,0,758,0
D_W_15K_V1_NM,pyjedai_ngram,0.9,0.0,0.0,0.0,0.0,1.0,0,758,0
D_Y_15K_V1_NM,value_overlap,0.0,0.659963436928702,0.4762532981530343,0.5532567049808429,0.4927927927927928,0.5072072072072071,547,758,115
D_Y_15K_V1_NM,value_overlap,0.1,0.659963436928702,0.4762532981530343,0.5532567049808429,0.4927927927927928,0.5072072072072071,547,758,115
D_Y_15K_V1_NM,value_overlap,0.2,0.6660516605166051,0.4762532981530343,0.5553846153846154,0.4882882882882883,0.5117117117117117,542,758,110
D_Y_15K_V1_NM,value_overlap,0.3,0.6792452830188679,0.47493403693931396,0.5590062111801242,0.4774774774774775,0.5225225225225225,530,758,101
D_Y_15K_V1_NM,value_overlap,0.4,0.7017892644135189,0.4656992084432718,0.5598731165741474,0.45315315315315313,0.5468468468468468,503,758,87
D_Y_15K_V1_NM,value_overlap,0.5,0.7349397590361446,0.4023746701846966,0.5200341005967605,0.3738738738738739,0.6261261261261262,415,758,60
D_Y_15K_V1_NM,value_overlap,0.6,0.752442996742671,0.30474934036939316,0.4338028169014085,0.2765765765765766,0.7234234234234234,307,758,38
D_Y_15K_V1_NM,value_overlap,0.7,0.7740384615384616,0.21240105540897097,0.33333333333333337,0.1873873873873874,0.8126126126126126,208,758,25
D_Y_15K_V1_NM,value_overlap,0.8,0.7926829268292683,0.08575197889182058,0.15476190476190477,0.07387387387387387,0.9261261261261261,82,758,10
D_Y_15K_V1_NM,value_overlap,0.9,0.6875,0.029023746701846966,0.055696202531645575,0.02882882882882883,0.9711711711711711,32,758,6
D_Y_15K_V1_NM,structural_propagation,0.0,0.19607843137254902,0.17150395778364116,0.18296973961998592,0.5972972972972973,0.4027027027027027,663,758,189
D_Y_15K_V1_NM,structural_propagation,0.1,0.22818791946308725,0.1345646437994723,0.16929460580912864,0.4027027027027027,0.5972972972972973,447,758,131
D_Y_15K_V1_NM,structural_propagation,0.2,0.2553191489361702,0.1266490765171504,0.16931216931216933,0.3387387387387387,0.6612612612612613,376,758,105
D_Y_15K_V1_NM,structural_propagation,0.3,0.3359683794466403,0.11213720316622691,0.1681503461918892,0.22792792792792793,0.7720720720720721,253,758,63
D_Y_15K_V1_NM,structural_propagation,0.4,0.33472803347280333,0.10554089709762533,0.160481444332999,0.2153153153153153,0.7846846846846847,239,758,63
D_Y_15K_V1_NM,structural_propagation,0.5,0.3076923076923077,0.079155672823219,0.12591815320041974,0.17567567567567569,0.8243243243243243,195,758,56
D_Y_15K_V1_NM,structural_propagation,0.6,0.29878048780487804,0.06464379947229551,0.10629067245119304,0.14774774774774774,0.8522522522522522,164,758,44
D_Y_15K_V1_NM,structural_propagation,0.7,0.29577464788732394,0.055408970976253295,0.09333333333333332,0.12792792792792793,0.872072072072072,142,758,37
D_Y_15K_V1_NM,structural_propagation,0.8,0.296875,0.05013192612137203,0.08577878103837472,0.11531531531531532,0.8846846846846846,128,758,35
D_Y_15K_V1_NM,structural_propagation,0.9,0.3130434782608696,0.047493403693931395,0.0824742268041237,0.1036036036036036,0.8963963963963963,115,758,30
D_Y_15K_V1_NM,pyjedai_ngram,0.0,0.4208211143695015,0.3786279683377309,0.3986111111111111,0.6144144144144145,0.38558558558558553,682,758,196
D_Y_15K_V1_NM,pyjedai_ngram,0.1,0.45364238410596025,0.36147757255936674,0.4023494860499266,0.5441441441441441,0.45585585585585586,604,758,169
D_Y_15K_V1_NM,pyjedai_ngram,0.2,0.6731301939058172,0.32058047493403696,0.4343163538873995,0.32522522522522523,0.6747747747747748,361,758,57
D_Y_15K_V1_NM,pyjedai_ngram,0.3,0.9714285714285714,0.17941952506596306,0.3028953229398664,0.12612612612612611,0.8738738738738738,140,758,2
D_Y_15K_V1_NM,pyjedai_ngram,0.4,1.0,0.07519788918205805,0.13987730061349696,0.051351351351351354,0.9486486486486486,57,758,0
D_Y_15K_V1_NM,pyjedai_ngram,0.5,1.0,0.014511873350923483,0.02860858257477243,0.00990990990990991,0.9900900900900901,11,758,0
D_Y_15K_V1_NM,pyjedai_ngram,0.6,1.0,0.0013192612137203166,0.002635046113306983,0.0009009009009009009,0.9990990990990991,1,758,0
D_Y_15K_V1_NM,pyjedai_ngram,0.7,0.0,0.0,0.0,0.0,1.0,0,758,0
D_Y_15K_V1_NM,pyjedai_ngram,0.8,0.0,0.0,0.0,0.0,1.0,0,758,0
D_Y_15K_V1_NM,pyjedai_ngram,0.9,0.0,0.0,0.0,0.0,1.0,0,758,0
