dataset,metric,pandas,spark,abs_diff,match
EN_FR_100K_V1,kg1.total_degree.max,1293.0,1293.0,0.0,True
EN_FR_100K_V1,kg2.total_degree.max,1375.0,1375.0,0.0,True
EN_FR_100K_V1,kg1.total_degree.gini,0.5723906740803664,0.5723906740803664,0.0,True
EN_FR_100K_V1,kg2.total_degree.gini,0.5644287013570279,0.5644287013570279,0.0,True
EN_FR_100K_V1,kg1.share_isolated,0.0,0.0,0.0,True
EN_FR_100K_V1,kg2.share_isolated,0.0,0.0,0.0,True
EN_FR_100K_V1,kg1.rel.n_properties,400.0,400.0,0.0,True
EN_FR_100K_V1,kg2.rel.n_properties,300.0,300.0,0.0,True
EN_FR_100K_V1,kg1.rel.top10_concentration,0.4578352556628242,0.4578352556628242,0.0,True
EN_FR_100K_V1,kg2.rel.top10_concentration,0.45461408908763573,0.45461408908763573,0.0,True
