dataset,stage,component,backend,runtime_s
EN_FR_100K_V1,metric,alignment_metrics,pandas,0.1359546660023625
EN_FR_100K_V1,metric,alignment_reachability,pandas,1.7729220000037458
EN_FR_100K_V1,matcher,value_overlap,pandas,4.917668542002502
EN_FR_100K_V1,matcher,structural_propagation,pandas,110.39913112499926
EN_FR_100K_V1,matcher,paris,pandas,58.93864875000145
EN_FR_100K_V2,metric,basic_stats,pandas,0.209570041995903
EN_FR_100K_V2,metric,degree_distribution,pandas,0.2916457499959506
EN_FR_100K_V2,metric,property_distribution,pandas,0.09876633300154936
EN_FR_100K_V2,metric,connectivity,pandas,7.350017541000852
EN_FR_100K_V2,metric,long_tail,pandas,0.10736841699690558
EN_FR_100K_V2,metric,attribute_completeness,pandas,0.5137101250002161
EN_FR_100K_V2,metric,type_distribution,pandas,0.026823915999557357
EN_FR_100K_V2,metric,schema_heterogeneity,pandas,0.11715487499895971
EN_FR_100K_V2,metric,aligned_consistency,pandas,0.27299829199910164
EN_FR_100K_V2,metric,alignment_metrics,pandas,0.1442767080006888
EN_FR_100K_V2,metric,alignment_reachability,pandas,3.138361958997848
EN_FR_100K_V2,matcher,value_overlap,pandas,5.00725745800446
EN_FR_100K_V2,matcher,structural_propagation,pandas,243.77894154100068
EN_FR_100K_V2,matcher,paris,pandas,127.18833662500401
EN_FR_15K_V1,metric,basic_stats,pandas,0.028627584004425444
EN_FR_15K_V1,metric,degree_distribution,pandas,0.029933915997389704
EN_FR_15K_V1,metric,property_distribution,pandas,0.010846291996131185
EN_FR_15K_V1,metric,connectivity,pandas,0.21134841699677054
EN_FR_15K_V1,metric,long_tail,pandas,0.010725208005169407
EN_FR_15K_V1,metric,attribute_completeness,pandas,0.07037408299947856
EN_FR_15K_V1,metric,type_distribution,pandas,0.0027682500003720634
EN_FR_15K_V1,metric,schema_heterogeneity,pandas,0.014436291006859392
EN_FR_15K_V1,metric,aligned_consistency,pandas,0.14280308299930766
EN_FR_15K_V1,metric,alignment_metrics,pandas,0.014988916998845525
EN_FR_15K_V1,metric,alignment_reachability,pandas,0.11162070799764479
EN_FR_15K_V1,matcher,value_overlap,pandas,0.4078973329960718
EN_FR_15K_V1,matcher,structural_propagation,pandas,5.618383417000587
EN_FR_15K_V1,matcher,paris,pandas,14.190164040999662
EN_FR_15K_V2,metric,basic_stats,pandas,0.027275207998172846
EN_FR_15K_V2,metric,degree_distribution,pandas,0.03137008400517516
EN_FR_15K_V2,metric,property_distribution,pandas,0.01034987500315765
